timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712931412251,399,configuration_3,200,OK,configuration_3_users 1-1,text,true,,231,157,1,1,http://localhost:8080/?token=490561687&user=2080904185&config=3,399,0,1
1712931412853,395,configuration_3,200,OK,configuration_3_users 1-2,text,true,,231,157,2,2,http://localhost:8080/?token=490561687&user=2080904185&config=3,395,0,1
1712931413450,391,configuration_3,200,OK,configuration_3_users 1-3,text,true,,231,157,3,3,http://localhost:8080/?token=490561687&user=2080904185&config=3,391,0,1
1712931414050,390,configuration_3,200,OK,configuration_3_users 1-4,text,true,,231,157,4,4,http://localhost:8080/?token=490561687&user=2080904185&config=3,390,0,0
1712931414652,400,configuration_3,200,OK,configuration_3_users 1-5,text,true,,231,157,5,5,http://localhost:8080/?token=490561687&user=2080904185&config=3,400,0,0
1712931415250,348,configuration_3,200,OK,configuration_3_users 1-1,text,true,,231,157,6,6,http://localhost:8080/?token=490561687&user=2080904185&config=3,348,0,0
1712931415251,392,configuration_3,200,OK,configuration_3_users 1-6,text,true,,231,157,6,6,http://localhost:8080/?token=490561687&user=2080904185&config=3,392,0,1
1712931415854,352,configuration_3,200,OK,configuration_3_users 1-2,text,true,,231,157,7,7,http://localhost:8080/?token=490561687&user=2080904185&config=3,352,0,0
1712931415850,398,configuration_3,200,OK,configuration_3_users 1-7,text,true,,231,157,7,7,http://localhost:8080/?token=490561687&user=2080904185&config=3,398,0,1
1712931416450,350,configuration_3,200,OK,configuration_3_users 1-3,text,true,,231,157,8,8,http://localhost:8080/?token=490561687&user=2080904185&config=3,350,0,0
1712931416451,394,configuration_3,200,OK,configuration_3_users 1-8,text,true,,231,157,8,8,http://localhost:8080/?token=490561687&user=2080904185&config=3,394,0,0
1712931417052,356,configuration_3,200,OK,configuration_3_users 1-4,text,true,,231,157,9,9,http://localhost:8080/?token=490561687&user=2080904185&config=3,356,0,0
1712931417050,394,configuration_3,200,OK,configuration_3_users 1-9,text,true,,231,157,9,9,http://localhost:8080/?token=490561687&user=2080904185&config=3,394,0,1
1712931417652,348,configuration_3,200,OK,configuration_3_users 1-5,text,true,,231,157,10,10,http://localhost:8080/?token=490561687&user=2080904185&config=3,348,0,0
1712931417651,388,configuration_3,200,OK,configuration_3_users 1-10,text,true,,231,157,10,10,http://localhost:8080/?token=490561687&user=2080904185&config=3,388,0,1
1712931418250,353,configuration_3,200,OK,configuration_3_users 1-6,text,true,,231,157,11,11,http://localhost:8080/?token=490561687&user=2080904185&config=3,353,0,0
1712931418250,361,configuration_3,200,OK,configuration_3_users 1-1,text,true,,231,157,11,11,http://localhost:8080/?token=490561687&user=2080904185&config=3,361,0,0
1712931418251,418,configuration_3,200,OK,configuration_3_users 1-11,text,true,,231,157,11,11,http://localhost:8080/?token=490561687&user=2080904185&config=3,418,0,2
1712931418852,368,configuration_3,200,OK,configuration_3_users 1-7,text,true,,231,157,12,12,http://localhost:8080/?token=490561687&user=2080904185&config=3,368,0,0
1712931418854,374,configuration_3,200,OK,configuration_3_users 1-2,text,true,,231,157,12,12,http://localhost:8080/?token=490561687&user=2080904185&config=3,374,0,0
1712931418852,426,configuration_3,200,OK,configuration_3_users 1-12,text,true,,231,157,12,12,http://localhost:8080/?token=490561687&user=2080904185&config=3,426,0,2
